ts,avail_mb,used_mb,ovms_ws_mb,python_ws_mb_total,cpu_pct
12:52:26,4886,27189,11128,55,12
12:52:31,4887,27188,11128,55,15
12:52:37,4888,27187,11128,55,13
12:52:42,4890,27185,11128,55,15
12:52:47,4890,27185,11128,55,15
12:52:53,4862,27213,11128,55,15
12:52:58,4869,27207,11128,55,20
12:53:03,4876,27199,11128,55,22
12:53:09,4866,27209,11128,55,22
12:53:14,4878,27197,11128,55,17
12:53:19,4878,27197,11128,55,17
12:53:25,4872,27203,11128,55,18
12:53:30,4873,27202,11128,55,18
12:53:35,4879,27196,11128,55,21
12:53:41,4876,27199,11128,55,20
12:53:46,4872,27203,11128,55,24
12:53:51,4877,27199,11128,55,12
12:53:57,4880,27196,11128,55,21
12:54:02,4880,27196,11128,55,20
12:54:07,4877,27198,11128,55,15
12:54:13,4876,27199,11128,55,29
12:54:18,4880,27195,11128,55,13
12:54:24,4870,27205,11128,55,20
12:54:29,4874,27201,11128,55,20
12:54:34,4879,27196,11128,55,22
12:54:40,4878,27198,11128,55,21
12:54:45,4876,27199,11128,55,19
12:54:50,4850,27225,11128,55,22
12:54:56,4854,27221,11128,55,14
12:55:01,4870,27206,11129,55,18
12:55:06,4850,27225,11129,55,20
12:55:12,4851,27224,11129,55,26
12:55:17,4861,27214,11129,55,16
12:55:22,4856,27219,11129,55,22
12:55:28,4859,27217,11129,55,17
12:55:33,4865,27210,11129,55,15
12:55:38,4860,27215,11129,55,17
12:55:44,4851,27224,11129,55,19
12:55:49,4867,27209,11129,55,15
12:55:54,4884,27191,11129,55,18
12:56:00,4883,27193,11129,55,16
12:56:05,4883,27192,11129,55,15
12:56:10,4878,27197,11129,55,26
12:56:16,4883,27192,11129,55,14
12:56:21,4888,27187,11129,55,17
12:56:26,4881,27194,11129,55,20
12:56:32,4883,27192,11129,55,14
12:56:37,4883,27192,11129,55,22
12:56:42,4886,27189,11129,55,15
12:56:48,4889,27186,11129,55,23
12:56:53,4884,27191,11129,55,14
12:56:58,4882,27194,11129,55,16
12:57:04,4888,27187,11129,55,15
12:57:09,4888,27187,11129,55,15
12:57:14,4881,27194,11129,55,25
12:57:20,4891,27184,11129,55,20
12:57:25,4881,27194,11129,55,24
12:57:30,4884,27192,11129,55,29
12:57:36,4895,27180,11129,55,18
12:57:41,4882,27193,11129,55,25
12:57:46,4878,27197,11129,55,17
12:57:52,4883,27192,11129,55,22
12:57:57,4880,27195,11129,55,23
12:58:02,4885,27190,11129,55,11
12:58:08,4885,27190,11129,55,18
12:58:13,4875,27200,11129,55,22
12:58:18,4886,27189,11129,55,18
12:58:24,4896,27179,11129,55,19
12:58:29,4888,27188,11129,55,21
12:58:34,4873,27202,11129,55,28
12:58:40,4869,27206,11129,55,21
12:58:45,4857,27219,11129,55,26
12:58:50,4861,27214,11129,55,26
12:58:56,4866,27209,11129,55,18
12:59:01,4876,27200,11129,55,25
12:59:06,4873,27202,11129,55,19
12:59:12,4877,27199,11129,55,18
12:59:17,4871,27205,11129,55,18
12:59:22,4879,27196,11129,55,20
12:59:28,4877,27198,11129,55,22
12:59:33,4871,27204,11129,55,28
12:59:39,4875,27200,11129,55,24
12:59:44,4840,27236,11129,55,20
12:59:49,4844,27231,11129,55,27
12:59:55,4849,27226,11129,55,23
13:00:00,4864,27211,11129,55,18
13:00:05,4842,27234,11129,55,20
13:00:11,4847,27229,11129,55,19
13:00:16,4824,27251,11131,55,14
13:00:22,4862,27213,11131,55,19
13:00:28,4847,27229,11131,55,28
13:00:33,4842,27233,11131,55,16
13:00:38,4843,27232,11131,55,16
13:00:44,4841,27234,11131,55,17
13:00:49,4839,27236,11131,55,16
13:00:54,4846,27230,11131,55,11
13:01:00,4840,27235,11131,55,23
13:01:05,4841,27234,11131,55,16
13:01:10,4848,27228,11131,55,18
13:01:16,4823,27252,11136,55,15
13:01:21,4812,27263,11156,55,16
13:01:26,4803,27273,11156,56,36
13:01:32,4808,27267,11156,56,18
13:01:37,4812,27263,11164,56,26
13:01:42,4815,27260,11164,56,29
13:01:48,4813,27262,11164,56,17
13:01:53,4816,27259,11159,56,31
13:01:58,4776,27300,11169,55,32
13:02:04,4784,27291,11169,55,23
13:02:09,4784,27292,11169,55,16
13:02:14,4803,27273,11164,55,42
13:02:20,4813,27262,11164,55,31
13:02:25,4816,27260,11164,55,12
13:02:31,4813,27262,11164,55,13
13:02:36,4815,27260,11164,55,16
13:02:41,4817,27258,11164,55,13
13:02:47,4819,27257,11165,55,14
13:02:52,4817,27259,11165,55,16
13:02:57,4821,27254,11165,55,17
13:03:03,4821,27254,11165,55,22
13:03:08,4823,27252,11165,55,21
13:03:13,4823,27253,11165,55,18
13:03:19,4805,27271,11165,55,25
13:03:24,4809,27267,11165,55,19
13:03:29,4815,27260,11165,55,16
13:03:35,4806,27269,11165,55,15
13:03:40,4807,27268,11165,55,18
13:03:45,4810,27265,11165,55,35
13:03:51,4794,27281,11165,55,26
13:03:56,4796,27279,11165,55,13
13:04:01,4810,27265,11165,55,24
13:04:07,4813,27262,11165,55,25
13:04:12,4814,27261,11165,55,20
13:04:17,4814,27261,11165,55,16
13:04:23,4816,27259,11165,55,33
13:04:28,4813,27262,11165,55,19
13:04:34,4818,27258,11165,55,16
13:04:39,4816,27259,11165,55,18
13:04:44,4818,27257,11165,55,15
13:04:50,4817,27258,11165,55,17
13:04:55,4817,27258,11165,55,20
13:05:00,4818,27258,11165,55,19
13:05:06,4746,27330,11165,55,22
13:05:11,4735,27340,11165,55,31
13:05:16,4833,27243,11165,55,18
13:11:53,4285,27791,11202,55,34
13:11:59,4297,27779,11199,55,38
13:12:04,4309,27766,11199,55,26
13:12:10,4327,27749,11199,55,24
13:12:15,4322,27753,11199,55,17
13:12:20,4321,27755,11203,55,42
13:12:26,4316,27760,11203,55,29
13:12:31,4299,27776,11203,55,25
13:12:37,4298,27777,11199,55,18
13:12:42,4308,27767,11199,55,37
13:12:48,4298,27777,11199,55,30
13:12:53,4289,27787,11199,55,35
13:12:59,4064,28012,11199,55,100
13:13:04,3822,28253,11203,55,25
13:13:10,4252,27823,11203,55,30
13:13:15,4254,27822,11203,55,30
13:13:21,4251,27825,11199,55,30
13:13:26,4265,27810,11199,55,26
13:13:31,4267,27808,11199,55,25
13:13:37,4267,27808,11199,55,17
13:13:42,4271,27804,11199,55,19
13:13:48,4270,27805,11203,55,20
13:13:53,4265,27811,11203,55,24
13:13:59,4262,27813,11203,55,44
13:14:04,4263,27812,11199,55,29
13:14:09,4267,27809,11199,55,23
13:14:15,4272,27803,11199,55,27
13:14:20,4276,27800,11199,55,30
13:14:26,4273,27803,11199,55,20
13:14:31,4268,27807,11203,55,27
13:14:36,4269,27807,11203,55,23
13:14:42,4267,27809,11199,55,18
13:14:47,4264,27812,11199,55,19
13:14:52,4274,27802,11199,55,24
13:14:58,4272,27803,11199,55,22
13:15:03,4174,27901,11199,55,25
13:15:09,4249,27826,11199,55,27
13:15:14,4253,27823,11203,55,22
13:15:20,4266,27810,11203,55,19
13:15:25,4263,27812,11203,55,19
13:15:30,4266,27809,11199,55,26
13:15:36,4259,27817,11199,55,30
13:15:41,4265,27810,11199,55,26
13:15:47,4255,27821,11199,55,30
13:15:52,4607,27468,11203,55,51
13:15:58,12264,19811,3761,56,19
13:16:03,25102,6973,0,278,30
13:16:08,24883,7192,0,485,29
13:16:14,24878,7197,0,496,29
13:16:19,24591,7484,0,821,21
13:16:25,11170,20906,0,14243,54
13:16:30,6971,25104,0,18356,48
13:16:36,15566,16509,0,9767,24
13:16:41,15542,16533,0,9768,23
13:16:46,12369,19706,0,12903,21
13:16:52,12264,19811,0,12929,22
13:16:57,12152,19923,0,12943,12
13:17:02,12150,19926,0,12943,6
13:17:08,12163,19913,0,12943,19
13:17:13,12171,19904,0,12911,6
13:17:18,12177,19898,0,12911,18
13:17:24,12197,19878,0,12911,7
13:17:29,12193,19882,0,12911,11
13:17:34,12210,19865,0,12911,18
13:17:40,12207,19869,0,12911,7
13:17:45,12186,19889,0,12911,16
13:17:50,12206,19870,0,12911,6
13:17:56,12185,19890,0,12911,21
13:18:01,12194,19881,0,12911,12
13:18:06,12215,19860,0,12911,8
13:18:12,12208,19867,0,12911,6
13:18:17,12205,19870,0,12911,9
13:18:22,12203,19873,0,12911,10
13:18:28,12212,19863,0,12911,9
13:18:33,12208,19868,0,12911,6
13:18:38,12206,19869,0,12911,9
13:18:44,12204,19871,0,12911,11
13:18:49,12194,19882,0,12911,8
13:18:54,12190,19886,0,12911,6
13:19:00,12187,19888,0,12911,7
13:19:05,12182,19894,0,12911,14
13:19:10,12178,19898,0,12911,7
13:19:16,12176,19899,0,12911,8
13:19:21,12188,19887,0,12911,9
13:19:26,12181,19895,0,12911,4
13:19:32,12157,19918,0,12911,17
13:19:37,12179,19896,0,12911,20
13:19:42,12174,19901,0,12911,7
13:19:48,12192,19883,0,12911,12
13:19:53,12190,19885,0,12911,10
13:19:58,12183,19892,0,12911,22
13:20:04,12159,19917,0,12911,23
13:20:09,12227,19848,0,12911,12
13:20:14,12189,19886,0,12911,23
13:20:20,12185,19890,0,12911,9
13:20:25,12191,19885,0,12911,17
13:20:30,12187,19888,0,12911,18
13:20:36,12192,19884,0,12911,11
13:20:41,12188,19887,0,12911,8
13:20:46,12183,19892,0,12911,5
13:20:52,12185,19891,0,12911,9
13:20:57,12184,19892,0,12911,9
13:21:02,12173,19902,0,12911,20
13:21:08,12152,19923,0,12921,17
13:21:13,12166,19909,0,12921,12
13:21:18,12160,19915,0,12921,7
13:21:24,12150,19926,0,12921,4
13:21:29,12160,19915,0,12921,5
13:21:34,12158,19917,0,12921,13
13:21:40,12161,19915,0,12921,7
13:21:45,12158,19917,0,12921,12
13:21:50,12152,19923,0,12921,18
13:21:56,12170,19905,0,12921,6
13:22:01,12168,19907,0,12921,15
13:22:06,12162,19913,0,12921,5
13:22:12,12166,19909,0,12921,6
13:22:17,12155,19921,0,12921,15
13:22:22,12150,19925,0,12921,20
13:22:28,12157,19918,0,12921,6
13:22:33,12162,19913,0,12921,7
13:22:38,12156,19919,0,12921,19
13:22:44,12157,19918,0,12921,12
13:22:49,12138,19937,0,12921,12
13:22:54,12132,19944,0,12921,11
13:23:00,12137,19939,0,12921,24
13:23:05,12135,19940,0,12921,14
13:23:10,12128,19947,0,12921,6
13:23:16,12128,19947,0,12921,10
13:23:21,12128,19948,0,12921,10
13:23:26,12121,19955,0,12921,18
13:23:32,12122,19953,0,12921,17
13:23:37,12124,19951,0,12921,18
13:23:42,12126,19949,0,12921,14
13:23:48,12141,19934,0,12921,13
13:23:53,12143,19932,0,12921,8
13:23:58,12057,20018,0,12959,34
13:24:04,12071,20004,0,12947,24
13:24:09,12064,20011,0,12947,20
13:24:14,12073,20002,0,12947,17
13:24:20,12106,19970,0,12912,9
13:24:25,12098,19977,0,12912,27
13:24:30,12088,19988,0,12912,9
13:24:36,12043,20032,0,12951,28
13:24:41,12038,20037,0,12951,31
13:24:46,12041,20035,0,12951,19
13:24:52,12022,20053,0,12979,32
13:24:57,12018,20058,0,12978,16
13:25:02,11983,20092,0,12978,11
13:25:08,12035,20040,0,12940,9
13:25:13,12009,20066,0,12940,20
13:25:18,11930,20146,0,12940,11
13:25:24,11427,20648,0,12940,39
13:25:29,11353,20722,0,12940,2
13:25:34,11457,20618,0,12942,5
13:25:40,11394,20681,0,12942,33
13:25:45,11449,20627,0,12942,10
13:25:50,11515,20561,0,12942,17
13:25:56,11511,20564,0,12942,14
13:26:01,11512,20563,0,12942,7
13:26:06,11515,20561,0,12942,27
13:26:12,11508,20567,0,12942,10
13:26:17,11509,20566,0,12942,5
13:26:22,11480,20596,0,12942,12
13:26:28,11488,20587,0,12942,10
13:26:33,11481,20594,0,12942,12
13:26:38,11489,20587,0,12942,14
13:26:44,11488,20587,0,12942,14
13:26:49,11479,20596,0,12942,8
13:26:54,11497,20578,0,12942,10
13:27:00,11490,20585,0,12942,6
13:27:05,11483,20593,0,12942,6
13:27:10,11478,20597,0,12942,13
13:27:16,11475,20601,0,12942,17
13:27:21,11472,20603,0,12942,7
13:27:27,11482,20594,0,12942,11
13:27:32,11486,20590,0,12942,7
13:27:37,11477,20598,0,12942,4
13:27:42,11476,20599,0,12942,10
13:27:48,11470,20605,0,12942,9
13:27:53,11452,20623,0,12942,3
13:27:59,11438,20637,0,12942,8
